subject_folder	csv_path	trial_index_csv	trigger	category	show_image_duration_s	image_stimulus_duration_s	pre_fixation_s	post_image_delay_s	image_onset_interval_s
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	1	1096	beaver	3.9876217999999426		1.7802922999999282	0.24947259999999005	6.230819200000042
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	2	1124	nightshirt	3.9791439000000537		1.9999876000001677	0.2497638999998344	5.915838999999778
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	3	1006	cardinal	3.9800224000000526		1.6935061999997743	0.2496608000001288	5.88061289999996
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	4	1071	mongoose	3.9882156000003306		1.6577709999996841	0.2496078999997735	6.009743900000103
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	5	1077	bison	3.9854035000003023		1.7787217999998575	0.2502139999996871	5.791515700000218
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	6	1159	pear	3.9932365999998183		1.5622213000001466	0.24886130000004414	6.18958530000009
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	7	1062	antelope	3.9904640999998264	3.993525000000318	1.954178100000263	0.24945190000016737	5.788290999999845
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	8	1145	rocking_chair	3.9870459999997365		1.5546479999998155	0.25002110000014	5.782000100000005
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	9	1015	moose	3.9624242999998387		1.5522814000000835	0.24907230000007985	5.864058699999987
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	10	1092	bunkbed	3.993637099999887		1.6592925999998442	0.24971270000014556	6.0522094999996625
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	11	1001	limousine	3.9900839000001724	3.992878799999744	1.8152825999995912	0.24977579999995214	5.746473100000003
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	12	1160	clam	3.9872396000000663		1.5133861999997862	0.24903680000034	5.952492500000062
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	13	1020	television	3.9786880999999994		1.722712299998875	0.25015080000002854	6.133534700000382
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	14	1104	speaker	3.9911817999995947		1.9119322000001375	0.24959720000015295	6.272522600000684
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	15	1134	sleeping_bag	3.8450272999989465		2.0388022000011006	0.24824200000011842	5.742317799999
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	16	1147	lemonade	3.9278401999999915		1.6558396000000357	0.24926929999992353	6.1938177000001815
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	17	1121	sunglasses	3.8594011000000137		2.023429800000031	0.24941510000007838	5.906325500000094
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	18	1035	lizard	3.9805223999996997		1.8043534000003092	0.24971310000000813	5.813758499999949
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	19	1052	wallpaper	3.9861375999998927		1.5906574000000546	0.24981190000016795	5.958556100000806
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	20	1132	polar_bear	3.992780899999161	3.995842399999674	1.7286713000007694	0.292604800000845	55.14009619999888
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	21	1071	mongoose	3.992004100000031		1.8392221999997673	0.24962520000008226	5.813810200001171
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	22	1150	chick	3.9908810999991147	3.9937482999998792	1.578716300000906	0.2493866000008893	6.291917599999124
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	23	1134	sleeping_bag	3.8520776999998816		2.0580966000002263	0.24942559999999503	5.824084900000798
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	24	1053	reindeer	3.986071099999208		1.729662000001099	0.24965629999996963	6.207009699999162
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	25	1060	squirrel	3.987379299999702	3.991065400000025	1.9783320999999887	0.24968920000037542	6.133615899999768
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	26	1001	limousine	3.985852700000123	3.9889516000002914	1.903460399999858	0.2496024000001853	6.00807180000038
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	27	1115	marshmallow	3.9846558999997796		1.7797385000003487	0.24956169999995836	6.136639999999716
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	28	1159	pear	3.987879300000259	3.9893490999997994	1.9094936000001326	0.24951429999964603	6.0368742999999085
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	29	1012	burrito	3.9641043999999965		1.8070348999999624	0.2497219000010773	6.074024500001087
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	30	1036	ladybug	3.993892199999209		1.8669536000011249	0.24979519999988042	5.901661699999295
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	31	1045	goose	3.988467899999705		1.664999500000249	0.24925919999986945	5.830716499999653
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	32	1095	mouse2	3.990855300000021		1.5989853999999468	0.24965610000026572	5.898160100000041
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	33	1144	tarantula	3.9886829000001853		1.6643238999999994	0.24953160000086427	5.742962199999965
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	34	1057	eggnog	3.988593200000196		1.511462999998912	0.24969199999986813	6.118540100000246
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	35	1112	hard_disk	3.988380999999663	3.9913368999996237	1.8868285000003198	0.24967980000019452	6.188951899999665
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	36	1108	possum	3.9871875000003456	3.99089129999993	1.9583160999995926	0.24939280000080544	6.09144409999999
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	37	1160	clam	3.98613800000021	3.9893872999996347	1.8618932999997924	0.24918699999989258	5.894302700000026
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	38	1031	fish	3.987106500000209		1.6656749999997373	0.24965750000092157	5.93832620000012
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	39	1016	ant	3.9864486000001307		1.7077375999997457	0.24976040000001376	5.940989199999876
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	40	1118	candy_bar	3.9834180000011656		1.7113260999999511	0.28226059999997233	29.754205500000353
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	41	1050	artichoke	3.986269199999697	3.9888464000000567	1.5267968999992263	0.24922379999998157	5.959940499999902
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	42	1157	barnacle	3.922099200000048		1.7308680999999524	0.24973599999975704	5.96635359999982
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	43	1098	stool	3.996994099999938		1.8017503999999462	0.24991210000007413	5.967261400000098
