subject_folder	csv_trials	show_image_duration_s_median	show_image_duration_s_p05	show_image_duration_s_p95	image_onset_interval_s_median	pre_fixation_s_median	post_image_delay_s_median
P06	200	3.987213550000206	3.926145114999872	3.99278598999922	6.00807180000038	1.76769510000031	0.2496171000002505
P07	200	3.9876721000000543	3.915149175000079	3.992605439999693	6.005949700000656	1.7658172499995999	0.24957190000009177
zar	200	3.987615900001174	3.9340816350000978	3.992168454998614	6.011222499997984	1.7672297999997681	0.24962269999787168
