row	subject_folder	trigger	category	is_repeat	epoch_valid	artifact_status	usable_after_rejection	peak_abs_uv	rms_uv	mean_uv	std_uv
74	P04	1061	taco	False	True	pass	True	34.845768	8.085146	-0.000001	8.085147
75	P04	1130	showerhead	False	True	pass	True	50.095104	12.867626	0.000006	12.867627
76	P04	1143	mango	False	True	review	False	328.488403	43.022446	0.000003	43.022446
77	P04	1123	sorbet	False	True	pass	True	30.793180	7.007660	-0.000000	7.007660
78	P04	1013	banana	False	True	pass	True	85.976540	23.333427	0.000011	23.333426
79	P04	1139	earwig	False	True	pass	True	25.550406	6.686354	-0.000006	6.686354
80	P04	1079	puppy	False	True	pass	True	25.429020	5.389934	-0.000011	5.389934
81	P04	1082	necklace	False	True	pass	True	59.751717	17.770721	-0.000011	17.770721
82	P04	1131	eel	False	True	pass	True	64.527115	17.089867	-0.000005	17.089865
83	P04	1143	mango	True	True	pass	True	165.012939	12.669631	-0.000008	12.669631
84	P04	1109	wasp	False	True	pass	True	47.854427	13.249396	0.000003	13.249396
85	P04	1046	tiramisu	True	True	pass	True	26.062958	7.061957	-0.000004	7.061957
86	P04	1133	cockatoo	False	True	pass	True	33.370808	5.797130	0.000006	5.797130
87	P04	1002	pea	False	True	pass	True	61.601006	15.855144	0.000004	15.855144
88	P04	1135	pony	False	True	pass	True	28.845467	6.030746	0.000000	6.030746
89	P04	1125	sundae	True	True	pass	True	169.062317	15.283545	-0.000002	15.283545
90	P04	1124	nightshirt	True	True	pass	True	25.640882	5.296249	-0.000000	5.296249
91	P04	1140	kayak	False	True	pass	True	23.538130	4.542974	-0.000007	4.542974
92	P04	1059	zucchini	False	True	pass	True	29.210278	5.685680	-0.000007	5.685680
93	P04	1040	panda	False	True	pass	True	45.909416	10.916112	-0.000005	10.916112
94	P04	1061	taco	True	True	pass	True	26.297358	5.607172	0.000005	5.607172
95	P04	1107	omelet	False	True	pass	True	27.320812	7.130773	0.000016	7.130772
96	P04	1086	pasta	False	True	pass	True	40.391743	8.576252	0.000001	8.576252
97	P04	1010	pineapple	False	True	pass	True	30.154314	6.037369	-0.000001	6.037369
98	P04	1127	space_shuttle	False	True	pass	True	28.535231	6.886118	-0.000005	6.886118
99	P04	1155	kale	False	True	pass	True	48.544277	11.900556	0.000009	11.900557
100	P04	1152	speedboat	False	True	review	False	251.376419	47.378490	0.000003	47.378490
101	P04	1008	keyboard	False	True	pass	True	113.273735	23.982006	-0.000006	23.982006
102	P04	1042	eagle	False	True	pass	True	22.614271	6.337354	0.000004	6.337354
103	P04	1028	meatball	False	True	pass	True	36.559689	9.435505	-0.000003	9.435505
104	P04	1062	antelope	True	True	pass	True	36.108727	8.950741	0.000006	8.950741
105	P04	1085	frog	False	True	pass	True	27.585871	6.271240	0.000000	6.271240
106	P04	1074	cobra	False	True	pass	True	29.302639	7.039649	-0.000003	7.039649
107	P04	1103	blazer	False	True	pass	True	229.641708	13.643814	-0.000000	13.643814
108	P04	1017	carrot	False	True	pass	True	35.039566	8.922802	-0.000008	8.922802
109	P04	1126	helicopter	False	True	pass	True	30.993574	6.982626	-0.000016	6.982626
110	P04	1106	swordfish	False	True	pass	True	223.182648	19.097536	-0.000006	19.097536
111	P04	1068	radio	False	True	pass	True	43.859734	9.297403	0.000001	9.297404
112	P04	1100	champagne	False	True	pass	True	38.912212	6.700836	0.000005	6.700835
113	P04	1084	cheetah	False	True	pass	True	18.148298	3.472498	0.000009	3.472498
114	P04	1120	owl	True	True	pass	True	45.466610	10.748853	0.000004	10.748853
115	P04	1129	workbench	False	True	pass	True	49.957199	12.946025	0.000009	12.946025
116	P04	1053	reindeer	True	True	pass	True	15.730993	4.355926	0.000001	4.355926
117	P04	1039	sailboat	False	True	pass	True	47.920181	11.929788	-0.000004	11.929787
118	P04	1111	creme_brulee	False	True	pass	True	42.648449	10.193453	-0.000002	10.193454
119	P04	1012	burrito	True	True	pass	True	54.559681	7.832962	0.000005	7.832963
120	P04	1067	taffy	False	True	pass	True	31.828384	5.511679	0.000001	5.511679
121	P04	1084	cheetah	True	True	pass	True	118.793930	12.111498	-0.000014	12.111497
122	P04	1082	necklace	True	True	pass	True	26.653347	5.856177	-0.000001	5.856177
123	P04	1051	yacht	False	True	pass	True	40.886837	10.297038	-0.000005	10.297037
124	P04	1091	kitten	False	True	pass	True	36.868855	9.011134	0.000011	9.011134
125	P04	1081	police_car	False	True	pass	True	44.872169	10.711716	0.000007	10.711716
126	P04	1154	chandelier	False	True	pass	True	38.322853	9.714106	-0.000004	9.714106
127	P04	1087	bathrobe	False	True	pass	True	30.928423	8.041701	0.000015	8.041701
128	P04	1065	cabinet	False	True	pass	True	25.439438	5.089149	0.000022	5.089149
129	P04	1114	spinach	False	True	pass	True	16.974977	4.160475	0.000007	4.160475
130	P04	1138	ping-pong_table	False	True	pass	True	29.157463	7.767218	0.000016	7.767218
131	P04	1113	firetruck	False	True	pass	True	226.410706	21.787483	0.000007	21.787485
132	P04	1021	tea	False	True	pass	True	33.794197	7.593783	0.000001	7.593783
133	P04	1023	wolf	True	True	pass	True	200.042816	16.189034	0.000009	16.189035
134	P04	1093	duckling	False	True	pass	True	25.918236	5.856739	-0.000010	5.856738
135	P04	1146	cheesecake	False	True	pass	True	25.488340	7.222638	0.000002	7.222638
136	P04	1045	goose	True	True	pass	True	27.743618	7.331220	-0.000013	7.331220
137	P04	1156	coconut	False	True	pass	True	26.832516	6.410395	-0.000001	6.410396
138	P04	1058	loveseat	False	True	pass	True	21.247900	4.501564	-0.000006	4.501564
139	P04	1055	seagull	False	True	pass	True	20.165581	5.432390	0.000005	5.432390
140	P04	1056	leggings	False	True	pass	True	46.244022	6.892031	-0.000019	6.892031
141	P04	1054	bathtub	False	True	pass	True	53.486019	15.392355	-0.000008	15.392356
142	P04	1034	bracelet1	False	True	pass	True	31.634087	7.234738	0.000012	7.234738
143	P04	1003	shorts	False	True	pass	True	34.366901	8.087499	0.000003	8.087500
144	P04	1078	sea_urchin	False	True	pass	True	42.761135	9.857468	-0.000005	9.857468
