subject_folder	trial_index	trigger	eeg_inter_event_gap_samples_to_next	eeg_inter_event_gap_s_to_next
P04	172	1030	3002	6.005000
P04	173	1080	3002	6.004000
P04	174	1070	3002	6.004000
P04	175	1007	2820	5.641000
P04	176	1059	3184	6.368000
P04	177	1158	2886	5.772000
P04	178	1051	3118	6.237000
P04	179	1076	3252	6.504000
P04	180	1122	5146	10.292000
P04	181	1052	10612	21.225000
P04	182	1142	2897	5.795000
P04	183	1064	2757	5.514000
P04	184	1060	3352	6.704000
P04	185	1048	3002	6.005000
P04	186	1009	3252	6.504000
P04	187	1072	3002	6.004000
P04	188	1089	2752	5.505000
P04	189	1075	3002	6.004000
P04	190	1029	3002	6.004000
P04	191	1069	2822	5.645000
P04	192	1126	2932	5.864000
P04	193	1019	3252	6.504000
P04	194	1005	3002	6.005000
P04	195	1116	3002	6.004000
P04	196	1022	3252	6.504000
P04	197	1066	3002	6.004000
P04	198	1004	2660	5.321000
P04	199	1157	3344	6.688000
P04	200	1024		
P05	1	1096	3108	6.216000
P05	2	1124	2958	5.916000
P05	3	1006	2944	5.888000
P05	4	1071	3000	6.001000
P05	5	1077	2900	5.800000
P05	6	1159	3093	6.186000
P05	7	1062	2889	5.778000
P05	8	1145	2875	5.750000
P05	9	1015	2944	5.889000
P05	10	1092	3024	6.048000
P05	11	1001	2872	5.744000
P05	12	1160	2969	5.938000
P05	13	1020	3072	6.145000
P05	14	1104	3059	6.118000
P05	15	1134	2914	5.828000
P05	16	1147	3062	6.124000
P05	17	1121	3014	6.028000
P05	18	1035	2906	5.813000
P05	19	1052	2982	5.964000
P05	20	1132	13729	27.459000
P05	21	1071	2906	5.812000
P05	22	1150	3077	6.154000
P05	23	1134	2979	5.958000
P05	24	1053	3107	6.215000
P05	25	1060	3066	6.132000
P05	26	1001	3000	6.000000
P05	27	1115	3073	6.146000
P05	28	1159	3007	6.015000
P05	29	1012	3048	6.096000
P05	30	1036	2948	5.896000
P05	31	1045	2914	5.828000
P05	32	1095	2944	5.888000
P05	33	1144	2867	5.735000
P05	34	1057	3059	6.118000
P05	35	1112	3094	6.188000
P05	36	1108	3045	6.090000
P05	37	1160	2945	5.890000
P05	38	1031	2964	5.929000
P05	39	1016	2966	5.932000
P05	40	1118	11267	22.535000
P05	41	1050	2944	5.888000
P05	42	1157	3018	6.036000
P05	43	1098	2982	5.964000
P05	44	1073	2930	5.861000
P05	45	1020	3063	6.126000
P05	46	1151	3059	6.118000
P05	47	1119	3090	6.180000
P05	48	1011	3080	6.160000
P05	49	1137	2979	5.959000
P05	50	1104	2954	5.908000
P05	51	1110	2910	5.820000
P05	52	1144	2914	5.828000
P05	53	1006	2912	5.825000
P05	54	1097	2955	5.910000
P05	55	1090	3070	6.140000
P05	56	1101	2892	5.784000
P05	57	1132	3056	6.112000
P05	58	1047	2891	5.783000
P05	59	1026	3014	6.028000
P05	60	1046	52231	104.466000
P05	61	1110	2920	5.840000
P05	62	1149	3105	6.210000
P05	63	1023	2875	5.750000
P05	64	1125	2909	5.818000
P05	65	1037	3066	6.133000
P05	66	1120	3010	6.020000
P05	67	1015	3097	6.194000
P05	68	1121	2928	5.856000
P05	69	1049	2895	5.790000
P05	70	1032	3024	6.049000
P05	71	1063	3066	6.132000
P05	72	1118	2892	5.784000
P05	73	1092	2924	5.848000
P05	74	1038	3069	6.139000
P05	75	1061	2969	5.938000
P05	76	1130	2930	5.860000
P05	77	1143	3084	6.168000
P05	78	1123	3048	6.096000
P05	79	1013	2868	5.737000
P05	80	1139	10514	21.028000
P05	81	1079	3055	6.111000
P05	82	1082	2955	5.910000
P05	83	1131	2979	5.958000
P05	84	1143	3087	6.174000
P05	85	1109	2892	5.784000
P05	86	1046	3062	6.125000
P05	87	1133	2945	5.890000
P05	88	1002	2989	5.978000
P05	89	1135	3032	6.064000
P05	90	1125	2909	5.819000
P05	91	1124	2903	5.806000
P05	92	1140	2903	5.806000
P05	93	1059	3083	6.166000
P05	94	1040	2945	5.890000
P05	95	1061	3037	6.075000
P05	96	1107	3080	6.160000
P05	97	1086	3017	6.034000
P05	98	1010	2900	5.800000
P05	99	1127	2916	5.832000
P05	100	1155	10899	21.799000
P05	101	1152	3049	6.098000
P05	102	1008	3058	6.117000
P05	103	1042	3070	6.140000
P05	104	1028	3024	6.048000
P05	105	1062	3038	6.076000
P05	106	1085	3003	6.007000
P05	107	1074	3105	6.210000
P05	108	1103	3114	6.228000
P05	109	1017	2917	5.834000
P05	110	1126	2944	5.888000
P05	111	1106	3000	6.001000
P05	112	1068	2878	5.756000
P05	113	1100	3084	6.168000
P05	114	1084	2923	5.846000
P05	115	1120	3059	6.118000
P05	116	1129	3035	6.071000
P05	117	1053	2975	5.950000
P05	118	1039	2976	5.952000
P05	119	1111	2934	5.868000
P05	120	1012	10315	20.631000
P05	121	1067	3004	6.008000
P05	122	1084	2868	5.736000
P05	123	1082	3072	6.145000
P05	124	1051	2910	5.820000
P05	125	1091	2983	5.966000
P05	126	1081	3066	6.132000
P05	127	1154	3104	6.209000
P05	128	1087	3111	6.222000
P05	129	1065	2868	5.736000
P05	130	1114	3038	6.076000
P05	131	1138	3010	6.020000
P05	132	1113	3017	6.035000
P05	133	1021	2903	5.806000
P05	134	1023	3108	6.216000
P05	135	1093	2934	5.868000
P05	136	1146	3003	6.007000
P05	137	1045	2910	5.820000
P05	138	1156	2888	5.776000
P05	139	1058	2990	5.980000
P05	140	1055	10413	20.827000
P05	141	1056	2948	5.896000
P05	142	1054	3090	6.180000
P05	143	1034	3093	6.187000
P05	144	1003	3101	6.202000
P05	145	1078	3024	6.048000
P05	146	1105	2920	5.840000
P05	147	1129	2945	5.890000
P05	148	1088	3038	6.077000
P05	149	1102	3107	6.214000
P05	150	1033	3046	6.092000
P05	151	1141	2951	5.902000
P05	152	1130	3024	6.049000
P05	153	1150	3045	6.090000
P05	154	1145	3031	6.062000
P05	155	1094	3111	6.222000
P05	156	1153	2920	5.840000
P05	157	1027	3097	6.195000
P05	158	1014	3056	6.112000
P05	159	1025	3027	6.054000
P05	160	1148	13261	26.523000
P05	161	1147	2993	5.986000
P05	162	1083	3069	6.138000
P05	163	1041	2916	5.833000
P05	164	1018	2945	5.890000
P05	165	1136	2941	5.882000
P05	166	1044	3003	6.006000
P05	167	1027	2910	5.820000
P05	168	1128	3041	6.083000
P05	169	1043	2979	5.958000
P05	170	1099	2889	5.778000
P05	171	1117	2899	5.798000
P05	172	1030	3014	6.029000
P05	173	1080	2993	5.986000
P05	174	1070	2962	5.924000
P05	175	1007	2906	5.812000
P05	176	1059	2976	5.952000
P05	177	1158	3104	6.209000
P05	178	1051	3045	6.090000
P05	179	1076	3062	6.124000
P05	180	1122	10962	21.925000
P05	181	1052	2968	5.936000
P05	182	1142	3025	6.050000
P05	183	1064	2959	5.918000
P05	184	1060	3072	6.145000
P05	185	1048	2999	5.998000
P05	186	1009	3119	6.238000
P05	187	1072	2996	5.992000
P05	188	1089	2892	5.785000
P05	189	1075	2931	5.862000
P05	190	1029	2892	5.784000
P05	191	1069	3052	6.104000
P05	192	1126	2889	5.778000
P05	193	1019	3114	6.229000
P05	194	1005	3108	6.216000
P05	195	1116	3024	6.048000
P05	196	1022	3108	6.216000
P05	197	1066	3037	6.075000
P05	198	1004	2886	5.772000
P05	199	1157	3083	6.166000
P05	200	1024		
P06	1	1096	3108	6.216000
P06	2	1124	2962	5.925000
P06	3	1006	2944	5.888000
P06	4	1071	3003	6.006000
P06	5	1077	2900	5.800000
P06	6	1159	3093	6.187000
P06	7	1062	2892	5.784000
P06	8	1145	2878	5.757000
P06	9	1015	2945	5.890000
P06	10	1092	3028	6.056000
P06	11	1001	2870	5.741000
P06	12	1160	2973	5.946000
P06	13	1020	3073	6.146000
P06	14	1104	3062	6.125000
P06	15	1134	2913	5.826000
P06	16	1147	3062	6.125000
P06	17	1121	3015	6.029000
P06	18	1035	2909	5.818000
P06	19	1052	2983	5.966000
P06	20	1132	27568	55.139000
P06	21	1071	2906	5.813000
P06	22	1150	3076	6.152000
P06	23	1134	2979	5.959000
P06	24	1053	3107	6.214000
P06	25	1060	3067	6.134000
P06	26	1001	2999	5.999000
P06	27	1115	3073	6.146000
P06	28	1159	3003	6.007000
P06	29	1012	3049	6.098000
P06	30	1036	2951	5.902000
P06	31	1045	2916	5.832000
P06	32	1095	2948	5.897000
P06	33	1144	2871	5.742000
P06	34	1057	3063	6.126000
P06	35	1112	3093	6.187000
P06	36	1108	3046	6.092000
P06	37	1160	2943	5.887000
P06	38	1031	2969	5.938000
P06	39	1016	2969	5.938000
P06	40	1118	14881	29.764000
P06	41	1050	2944	5.889000
P06	42	1157	3017	6.034000
P06	43	1098	2986	5.972000
P06	44	1073	2931	5.862000
P06	45	1020	3062	6.125000
P06	46	1151	3063	6.126000
P06	47	1119	3089	6.179000
P06	48	1011	3084	6.168000
P06	49	1137	2982	5.964000
P06	50	1104	2955	5.911000
P06	51	1110	2913	5.826000
P06	52	1144	2913	5.827000
P06	53	1006	2913	5.826000
P06	54	1097	2955	5.910000
P06	55	1090	3073	6.146000
P06	56	1101	2892	5.785000
P06	57	1132	3055	6.110000
P06	58	1047	2893	5.786000
P06	59	1026	3013	6.026000
P06	60	1046	12586	25.174000
P06	61	1110	2921	5.842000
P06	62	1149	3107	6.214000
P06	63	1023	2878	5.757000
P06	64	1125	2913	5.826000
P06	65	1037	3070	6.140000
P06	66	1120	3010	6.020000
P06	67	1015	3097	6.195000
P06	68	1121	2927	5.854000
P06	69	1049	2892	5.784000
P06	70	1032	3024	6.049000
P06	71	1063	3070	6.140000
P06	72	1118	2892	5.784000
P06	73	1092	2923	5.847000
P06	74	1038	3070	6.140000
P06	75	1061	2968	5.936000
P06	76	1130	2935	5.870000
P06	77	1143	3086	6.172000
P06	78	1123	3048	6.097000
P06	79	1013	2872	5.744000
P06	80	1139	10743	21.487000
P06	81	1079	3058	6.117000
P06	82	1082	2958	5.916000
P06	83	1131	2983	5.967000
P06	84	1143	3083	6.166000
P06	85	1109	2893	5.785000
P06	86	1046	3062	6.125000
P06	87	1133	2947	5.895000
P06	88	1002	2993	5.986000
P06	89	1135	3035	6.071000
P06	90	1125	2909	5.818000
P06	91	1124	2903	5.806000
P06	92	1140	2903	5.806000
P06	93	1059	3083	6.167000
P06	94	1040	2945	5.890000
P06	95	1061	3040	6.081000
P06	96	1107	3077	6.154000
P06	97	1086	3017	6.034000
P06	98	1010	2899	5.799000
P06	99	1127	2917	5.834000
P06	100	1155	13336	26.673000
P06	101	1152	3048	6.097000
P06	102	1008	3059	6.118000
P06	103	1042	3070	6.140000
P06	104	1028	3024	6.049000
P06	105	1062	3038	6.076000
P06	106	1085	3006	6.013000
P06	107	1074	3104	6.208000
P06	108	1103	3112	6.224000
P06	109	1017	2916	5.832000
P06	110	1126	2944	5.889000
P06	111	1106	3004	6.008000
P06	112	1068	2878	5.756000
P06	113	1100	3083	6.167000
P06	114	1084	2927	5.855000
P06	115	1120	3059	6.118000
P06	116	1129	3038	6.076000
P06	117	1053	2975	5.951000
P06	118	1039	2976	5.952000
P06	119	1111	2934	5.868000
P06	120	1012	11017	22.035000
P06	121	1067	3003	6.007000
P06	122	1084	2868	5.736000
P06	123	1082	3073	6.146000
P06	124	1051	2912	5.825000
P06	125	1091	2983	5.966000
P06	126	1081	3065	6.131000
P06	127	1154	3105	6.210000
P06	128	1087	3115	6.230000
P06	129	1065	2871	5.742000
P06	130	1114	3041	6.083000
P06	131	1138	3013	6.027000
P06	132	1113	3018	6.036000
P06	133	1021	2903	5.806000
P06	134	1023	3111	6.222000
P06	135	1093	2937	5.875000
P06	136	1146	3008	6.016000
P06	137	1045	2912	5.824000
P06	138	1156	2888	5.777000
P06	139	1058	2990	5.980000
P06	140	1055	12507	25.014000
P06	141	1056	2948	5.896000
P06	142	1054	3093	6.187000
P06	143	1034	3094	6.188000
P06	144	1003	3104	6.208000
P06	145	1078	3027	6.055000
P06	146	1105	2924	5.848000
P06	147	1129	2945	5.890000
P06	148	1088	3041	6.083000
P06	149	1102	3107	6.214000
P06	150	1033	3049	6.098000
P06	151	1141	2951	5.903000
P06	152	1130	3024	6.048000
P06	153	1150	3045	6.091000
P06	154	1145	3032	6.063000
P06	155	1094	3114	6.229000
P06	156	1153	2921	5.841000
P06	157	1027	3097	6.194000
P06	158	1014	3058	6.117000
P06	159	1025	3028	6.056000
P06	160	1148	12541	25.084000
P06	161	1147	2992	5.985000
P06	162	1083	3070	6.140000
P06	163	1041	2917	5.834000
P06	164	1018	2947	5.895000
P06	165	1136	2944	5.888000
P06	166	1044	3004	6.008000
P06	167	1027	2909	5.819000
P06	168	1128	3042	6.084000
P06	169	1043	2982	5.965000
P06	170	1099	2888	5.777000
P06	171	1117	2900	5.800000
P06	172	1030	3014	6.028000
P06	173	1080	2996	5.993000
P06	174	1070	2961	5.923000
P06	175	1007	2906	5.812000
P06	176	1059	2972	5.944000
P06	177	1158	3104	6.209000
P06	178	1051	3045	6.091000
P06	179	1076	3062	6.124000
P06	180	1122	13108	26.217000
P06	181	1052	2968	5.936000
P06	182	1142	3028	6.057000
P06	183	1064	2960	5.922000
P06	184	1060	3074	6.147000
P06	185	1048	3003	6.007000
P06	186	1009	3118	6.236000
P06	187	1072	3000	6.001000
P06	188	1089	2892	5.784000
P06	189	1075	2934	5.868000
P06	190	1029	2892	5.785000
P06	191	1069	3052	6.104000
P06	192	1126	2888	5.777000
P06	193	1019	3115	6.229000
P06	194	1005	3108	6.217000
P06	195	1116	3024	6.048000
P06	196	1022	3107	6.215000
P06	197	1066	3038	6.076000
P06	198	1004	2886	5.772000
P06	199	1157	3082	6.165000
P06	200	1024		
P07	1	1096	3108	6.217000
P07	2	1124	2958	5.916000
P07	3	1006	2948	5.896000
P07	4	1071	3000	6.000000
P07	5	1077	2899	5.798000
P07	6	1159	3094	6.189000
P07	7	1062	2888	5.776000
P07	8	1145	2875	5.750000
P07	9	1015	2945	5.890000
P07	10	1092	3024	6.049000
P07	11	1001	2871	5.742000
P07	12	1160	2969	5.938000
P07	13	1020	3073	6.147000
P07	14	1104	3059	6.118000
P07	15	1134	2913	5.826000
P07	16	1147	3065	6.131000
P07	17	1121	3014	6.028000
P07	18	1035	2910	5.820000
P07	19	1052	2982	5.965000
P07	20	1132	7304	14.608000
P07	21	1071	11983	23.968000
P07	22	1150	2789	5.578000
P07	23	1134	3264	6.528000
P07	24	1053	3107	6.215000
P07	25	1060	2871	5.742000
P07	26	1001	3191	6.382000
P07	27	1115	2799	5.599000
P07	28	1159	3277	6.554000
P07	29	1012	3049	6.098000
P07	30	1036	2947	5.895000
P07	31	1045	2913	5.826000
P07	32	1095	2945	5.890000
P07	33	1144	2868	5.736000
P07	34	1057	3058	6.117000
P07	35	1112	3094	6.188000
P07	36	1108	2861	5.722000
P07	37	1160	3128	6.257000
P07	38	1031	2969	5.938000
P07	39	1016	2965	5.930000
P07	40	1118	12892	25.786000
P07	41	1050	2944	5.888000
P07	42	1157	3018	6.036000
P07	43	1098	2982	5.965000
P07	44	1073	2604	5.208000
P07	45	1020	3389	6.778000
P07	46	1151	3062	6.125000
P07	47	1119	3090	6.180000
P07	48	1011	3080	6.160000
P07	49	1137	2631	5.263000
P07	50	1104	3303	6.606000
P07	51	1110	2739	5.478000
P07	52	1144	2936	5.873000
P07	53	1006	3060	6.120000
P07	54	1097	2955	5.910000
P07	55	1090	3069	6.139000
P07	56	1101	2700	5.400000
P07	57	1132	3245	6.490000
P07	58	1047	2891	5.783000
P07	59	1026	3014	6.028000
P07	60	1046	8670	17.341000
P07	61	1110	10621	21.243000
P07	62	1149	3104	6.208000
P07	63	1023	2875	5.751000
P07	64	1125	2910	5.820000
P07	65	1037	3066	6.132000
P07	66	1120	2832	5.665000
P07	67	1015	3016	6.032000
P07	68	1121	3186	6.372000
P07	69	1049	2892	5.785000
P07	70	1032	3024	6.048000
P07	71	1063	2948	5.896000
P07	72	1118	2686	5.373000
P07	73	1092	3248	6.496000
P07	74	1038	3069	6.138000
P07	75	1061	2968	5.937000
P07	76	1130	2931	5.862000
P07	77	1143	3083	6.166000
P07	78	1123	3048	6.097000
P07	79	1013	2868	5.736000
P07	80	1139	14733	29.467000
P07	81	1079	3055	6.111000
P07	82	1082	2955	5.910000
P07	83	1131	2938	5.876000
P07	84	1143	3124	6.249000
P07	85	1109	2838	5.676000
P07	86	1046	3117	6.234000
P07	87	1133	2947	5.895000
P07	88	1002	3002	6.004000
P07	89	1135	2946	5.892000
P07	90	1125	2614	5.229000
P07	91	1124	3268	6.536000
P07	92	1140	2930	5.860000
P07	93	1059	3055	6.111000
P07	94	1040	2905	5.810000
P07	95	1061	3078	6.156000
P07	96	1107	3076	6.153000
P07	97	1086	3017	6.034000
P07	98	1010	2899	5.798000
P07	99	1127	2984	5.969000
P07	100	1155	11880	23.761000
P07	101	1152	3048	6.096000
P07	102	1008	3082	6.165000
P07	103	1042	3047	6.094000
P07	104	1028	2741	5.482000
P07	105	1062	3324	6.649000
P07	106	1085	3004	6.008000
P07	107	1074	3144	6.288000
P07	108	1103	3074	6.149000
P07	109	1017	2930	5.860000
P07	110	1126	3002	6.004000
P07	111	1106	3002	6.004000
P07	112	1068	2805	5.611000
P07	113	1100	3084	6.168000
P07	114	1084	2761	5.522000
P07	115	1120	3221	6.443000
P07	116	1129	2937	5.874000
P07	117	1053	3077	6.154000
P07	118	1039	2975	5.951000
P07	119	1111	2708	5.416000
P07	120	1012	12454	24.909000
P07	121	1067	2982	5.965000
P07	122	1084	2682	5.364000
P07	123	1082	3342	6.684000
P07	124	1051	2806	5.613000
P07	125	1091	2986	5.972000
P07	126	1081	3066	6.132000
P07	127	1154	3150	6.301000
P07	128	1087	3069	6.138000
P07	129	1065	2935	5.870000
P07	130	1114	3002	6.005000
P07	131	1138	3002	6.004000
P07	132	1113	3002	6.004000
P07	133	1021	2848	5.697000
P07	134	1023	3161	6.322000
P07	135	1093	2997	5.994000
P07	136	1146	2770	5.541000
P07	137	1045	3234	6.468000
P07	138	1156	2752	5.504000
P07	139	1058	3002	6.005000
P07	140	1055	14060	28.121000
P07	141	1056	2948	5.896000
P07	142	1054	3252	6.505000
P07	143	1034	3002	6.004000
P07	144	1003	3030	6.060000
P07	145	1078	3023	6.047000
P07	146	1105	2883	5.766000
P07	147	1129	2986	5.972000
P07	148	1088	3088	6.177000
P07	149	1102	3057	6.114000
P07	150	1033	3197	6.394000
P07	151	1141	2584	5.169000
P07	152	1130	3134	6.268000
P07	153	1150	2968	5.936000
P07	154	1145	3322	6.645000
P07	155	1094	3003	6.006000
P07	156	1153	3001	6.002000
P07	157	1027	3015	6.031000
P07	158	1014	3056	6.112000
P07	159	1025	3185	6.370000
P07	160	1148	3434	6.869000
P07	161	1147	10324	20.649000
P07	162	1083	3002	6.004000
P07	163	1041	3002	6.004000
P07	164	1018	3002	6.005000
P07	165	1136	3002	6.004000
P07	166	1044	2978	5.956000
P07	167	1027	2776	5.553000
P07	168	1128	3002	6.004000
P07	169	1043	3002	6.004000
P07	170	1099	3002	6.005000
P07	171	1117	2752	5.504000
P07	172	1030	3007	6.014000
P07	173	1080	2997	5.995000
P07	174	1070	3002	6.004000
P07	175	1007	2820	5.640000
P07	176	1059	3184	6.369000
P07	177	1158	2886	5.772000
P07	178	1051	3118	6.236000
P07	179	1076	3252	6.505000
P07	180	1122	3396	6.792000
P07	181	1052	12362	24.725000
P07	182	1142	3252	6.505000
P07	183	1064	2752	5.504000
P07	184	1060	3252	6.504000
P07	185	1048	3002	6.005000
P07	186	1009	3002	6.004000
P07	187	1072	3002	6.004000
P07	188	1089	3002	6.005000
P07	189	1075	2752	5.505000
