subject_folder	trigger	category	n_total	n_usable	repeat_corr_flat_31x250	status
P04	1112	hard_disk	1	1		insufficient_after_rejection
P04	1113	firetruck	1	1		insufficient_after_rejection
P04	1114	spinach	1	1		insufficient_after_rejection
P04	1115	marshmallow	1	1		insufficient_after_rejection
P04	1116	praying_mantis	1	1		insufficient_after_rejection
P04	1117	hamster	1	1		insufficient_after_rejection
P04	1118	candy_bar	2	2	0.918461	pass
P04	1119	star_fruit	1	1		insufficient_after_rejection
P04	1120	owl	2	2	0.915116	pass
P04	1121	sunglasses	2	2	0.061445	pass
P04	1122	webcam	1	0		insufficient_after_rejection
P04	1123	sorbet	1	1		insufficient_after_rejection
P04	1124	nightshirt	2	2	-0.001219	pass
P04	1125	sundae	2	2	-0.150919	pass
P04	1126	helicopter	2	2	0.783071	pass
P04	1127	space_shuttle	1	1		insufficient_after_rejection
P04	1128	toad	1	1		insufficient_after_rejection
P04	1129	workbench	2	2	0.424617	pass
P04	1130	showerhead	2	2	0.867777	pass
P04	1131	eel	1	1		insufficient_after_rejection
P04	1132	polar_bear	2	2	0.270448	pass
P04	1133	cockatoo	1	1		insufficient_after_rejection
P04	1134	sleeping_bag	2	2	0.720782	pass
P04	1135	pony	1	1		insufficient_after_rejection
P04	1136	snake	1	1		insufficient_after_rejection
P04	1137	lamb	1	1		insufficient_after_rejection
P04	1138	ping-pong_table	1	1		insufficient_after_rejection
P04	1139	earwig	1	1		insufficient_after_rejection
P04	1140	kayak	1	1		insufficient_after_rejection
P04	1141	peach	1	1		insufficient_after_rejection
P04	1142	piglet	1	1		insufficient_after_rejection
P04	1143	mango	2	1		insufficient_after_rejection
P04	1144	tarantula	2	1		insufficient_after_rejection
P04	1145	rocking_chair	2	2	-0.145605	pass
P04	1146	cheesecake	1	1		insufficient_after_rejection
P04	1147	lemonade	2	2	0.693541	pass
P04	1148	broccoli	1	1		insufficient_after_rejection
P04	1149	mole	1	1		insufficient_after_rejection
P04	1150	chick	2	2	0.487086	pass
P04	1151	tractor	1	1		insufficient_after_rejection
P04	1152	speedboat	1	0		insufficient_after_rejection
P04	1153	donut	1	1		insufficient_after_rejection
P04	1154	chandelier	1	1		insufficient_after_rejection
P04	1155	kale	1	1		insufficient_after_rejection
P04	1156	coconut	1	1		insufficient_after_rejection
P04	1157	barnacle	2	2	-0.208194	pass
P04	1158	bulldozer	1	1		insufficient_after_rejection
P04	1159	pear	2	1		insufficient_after_rejection
P04	1160	clam	2	1		insufficient_after_rejection
P05	1001	limousine	2	2	0.569454	pass
P05	1002	pea	1	1		insufficient_after_rejection
P05	1003	shorts	1	1		insufficient_after_rejection
P05	1004	dalmatian	1	1		insufficient_after_rejection
P05	1005	ottoman	1	1		insufficient_after_rejection
P05	1006	cardinal	2	2	0.267103	pass
P05	1007	mirror	1	1		insufficient_after_rejection
P05	1008	keyboard	1	1		insufficient_after_rejection
P05	1009	papaya	1	1		insufficient_after_rejection
P05	1010	pineapple	1	1		insufficient_after_rejection
P05	1011	raspberry	1	1		insufficient_after_rejection
P05	1012	burrito	2	2	0.320250	pass
P05	1013	banana	1	1		insufficient_after_rejection
P05	1014	shark	1	1		insufficient_after_rejection
P05	1015	moose	2	2	0.354932	pass
P05	1016	ant	1	1		insufficient_after_rejection
P05	1017	carrot	1	1		insufficient_after_rejection
P05	1018	coffee	1	1		insufficient_after_rejection
P05	1019	videocassette	1	1		insufficient_after_rejection
P05	1020	television	2	2	0.251851	pass
P05	1021	tea	1	1		insufficient_after_rejection
P05	1022	shoe	1	1		insufficient_after_rejection
P05	1023	wolf	2	2	-0.045309	pass
P05	1024	lab_coat	1	1		insufficient_after_rejection
P05	1025	llama	1	1		insufficient_after_rejection
P05	1026	asparagus	1	1		insufficient_after_rejection
P05	1027	memory_stick	2	2	0.319312	pass
