subject_folder	channel	band	bandpower_uV2
melina	T8	theta_4_8	0.0155613813549
melina	T8	alpha_8_13	0.0232882447308
melina	T8	beta_13_30	0.0561719202087
melina	T8	low_gamma_30_45	0.0155105734011
melina	CP6	delta_1_4	0.145439015701
melina	CP6	theta_4_8	0.00455564627191
melina	CP6	alpha_8_13	0.00396940321662
melina	CP6	beta_13_30	0.0136360766483
melina	CP6	low_gamma_30_45	0.00600534905971
melina	FC6	delta_1_4	0.49372331053
melina	FC6	theta_4_8	0.0149098113179
melina	FC6	alpha_8_13	0.0208065379411
melina	FC6	beta_13_30	0.016702374036
melina	FC6	low_gamma_30_45	0.0105155839701
melina	F8	delta_1_4	1.1947760433
melina	F8	theta_4_8	0.0139300579904
melina	F8	alpha_8_13	0.0191489404533
melina	F8	beta_13_30	0.0272560653393
melina	F8	low_gamma_30_45	0.0288800259586
melina	F4	delta_1_4	0.394293155521
melina	F4	theta_4_8	0.0155025282875
melina	F4	alpha_8_13	0.0344934226014
melina	F4	beta_13_30	0.0222137679229
melina	F4	low_gamma_30_45	0.00703197810799
melina	C4	delta_1_4	0.149717077613
melina	C4	theta_4_8	0.00679636211134
melina	C4	alpha_8_13	0.00363290600944
melina	C4	beta_13_30	0.0145587254301
melina	C4	low_gamma_30_45	0.0073859403783
melina	P4	delta_1_4	0.646837763488
melina	P4	theta_4_8	0.00880835880525
melina	P4	alpha_8_13	0.0069066339056
melina	P4	beta_13_30	0.0180783936521
melina	P4	low_gamma_30_45	0.00293417811667
melina	AF4	delta_1_4	0.390311729163
melina	AF4	theta_4_8	0.0201655309647
melina	AF4	alpha_8_13	0.033118146006
melina	AF4	beta_13_30	0.032340279693
melina	AF4	low_gamma_30_45	0.00845860045229
melina	Fp2	delta_1_4	1.24087066948
melina	Fp2	theta_4_8	0.0566696301103
melina	Fp2	alpha_8_13	0.0496413223445
melina	Fp2	beta_13_30	0.167470303946
melina	Fp2	low_gamma_30_45	0.0393919967973
melina	Fp1	delta_1_4	0.634767636657
melina	Fp1	theta_4_8	0.0161447317805
melina	Fp1	alpha_8_13	0.0630090963095
melina	Fp1	beta_13_30	0.241568337893
melina	Fp1	low_gamma_30_45	0.0339386375636
melina	AF3	delta_1_4	0.279817235656
melina	AF3	theta_4_8	0.0306844823062
melina	AF3	alpha_8_13	0.036341747269
melina	AF3	beta_13_30	0.0510387447139
melina	AF3	low_gamma_30_45	0.0122539842268
melina	FC2	delta_1_4	0.276803586632
melina	FC2	theta_4_8	0.0153146949597
melina	FC2	alpha_8_13	0.0224920939654
melina	FC2	beta_13_30	0.0208359543176
melina	FC2	low_gamma_30_45	0.0105574869085
melina	Cz	delta_1_4	0.190451033413
melina	Cz	theta_4_8	0.0193021222949
melina	Cz	alpha_8_13	0.0105547062121
melina	Cz	beta_13_30	0.0162408823817
melina	Cz	low_gamma_30_45	0.00370401363762
melina	CP2	delta_1_4	0.283989530057
melina	CP2	theta_4_8	0.00264422348118
melina	CP2	alpha_8_13	0.00473952887114
melina	CP2	beta_13_30	0.0141487926012
melina	CP2	low_gamma_30_45	0.00324536382686
melina	PO3	delta_1_4	0.552301544696
melina	PO3	theta_4_8	0.0131964827888
melina	PO3	alpha_8_13	0.0116699469509
melina	PO3	beta_13_30	0.0115108742029
melina	PO3	low_gamma_30_45	0.00518600583018
melina	O1	delta_1_4	0.582267027348
melina	O1	theta_4_8	0.00790720677469
melina	O1	alpha_8_13	0.0121541253175
melina	O1	beta_13_30	0.0107809202163
melina	O1	low_gamma_30_45	0.00443168608035
melina	Oz	delta_1_4	0.558305095881
melina	Oz	theta_4_8	0.0106281321496
melina	Oz	alpha_8_13	0.00941619370133
melina	Oz	beta_13_30	0.0102274066739
melina	Oz	low_gamma_30_45	0.0047978103612
melina	O2	delta_1_4	0.640140451491
melina	O2	theta_4_8	0.00984703982249
melina	O2	alpha_8_13	0.00815525639337
melina	O2	beta_13_30	0.0148652369244
melina	O2	low_gamma_30_45	0.00872751761563
melina	PO4	delta_1_4	0.631946705282
melina	PO4	theta_4_8	0.00976740696933
melina	PO4	alpha_8_13	0.0122751255985
melina	PO4	beta_13_30	0.0120224618295
melina	PO4	low_gamma_30_45	0.0048768416018
melina	Pz	delta_1_4	0.453091710806
melina	Pz	theta_4_8	0.0343094170094
melina	Pz	alpha_8_13	0.00848128215875
melina	Pz	beta_13_30	0.0199420278295
melina	Pz	low_gamma_30_45	0.00551757000267
melina	CP1	delta_1_4	0.48737166822
melina	CP1	theta_4_8	0.012918805005
melina	CP1	alpha_8_13	0.0116412020288
melina	CP1	beta_13_30	0.0124557753734
melina	CP1	low_gamma_30_45	0.00296248146333
melina	FC1	delta_1_4	0.163096752018
melina	FC1	theta_4_8	0.0258061939385
melina	FC1	alpha_8_13	0.013851666823
melina	FC1	beta_13_30	0.0154278699047
melina	FC1	low_gamma_30_45	0.00466732188215
melina	P3	delta_1_4	0.562656447291
melina	P3	theta_4_8	0.0115147468168
melina	P3	alpha_8_13	0.00782133697066
melina	P3	beta_13_30	0.0156420604617
melina	P3	low_gamma_30_45	0.00425387536961
melina	C3	delta_1_4	0.0619032876566
melina	C3	theta_4_8	0.00557040044805
melina	C3	alpha_8_13	0.0050581630785
melina	C3	beta_13_30	0.0141029701554
melina	C3	low_gamma_30_45	0.00463692473568
melina	F3	delta_1_4	0.29620199278
melina	F3	theta_4_8	0.0253948858008
melina	F3	alpha_8_13	0.0161526545417
melina	F3	beta_13_30	0.0410624834185
melina	F3	low_gamma_30_45	0.015370145702
melina	F7	delta_1_4	0.593180865049
melina	F7	theta_4_8	0.0529127912596
melina	F7	alpha_8_13	0.0127118293312
melina	F7	beta_13_30	0.0371240096283
melina	F7	low_gamma_30_45	0.00569436704973
melina	FC5	delta_1_4	0.124244669452
melina	FC5	theta_4_8	0.00607487373054
melina	FC5	alpha_8_13	0.00957711064257
melina	FC5	beta_13_30	0.0235801206436
melina	FC5	low_gamma_30_45	0.00817938191176
melina	CP5	delta_1_4	0.0784105984494
melina	CP5	theta_4_8	0.0042071256903
melina	CP5	alpha_8_13	0.00332384047215
melina	CP5	beta_13_30	0.0166291586465
melina	CP5	low_gamma_30_45	0.00725405276535
melina	T7	delta_1_4	0.146044295281
melina	T7	theta_4_8	0.0166420342866
melina	T7	alpha_8_13	0.00573412759695
melina	T7	beta_13_30	0.0271719170851
melina	T7	low_gamma_30_45	0.0187856273842
melina	P7	delta_1_4	0.427458569407
melina	P7	theta_4_8	0.0169341720175
melina	P7	alpha_8_13	0.0141175410245
melina	P7	beta_13_30	0.0231662786682
melina	P7	low_gamma_30_45	0.00539038924035
zar	P8	delta_1_4	6.2208070159
zar	P8	theta_4_8	0.159776027314
zar	P8	alpha_8_13	0.0609983522445
zar	P8	beta_13_30	0.0879403299186
zar	P8	low_gamma_30_45	0.0218406404019
zar	T8	delta_1_4	0.308615297079
zar	T8	theta_4_8	0.0873360969126
zar	T8	alpha_8_13	0.0297639658675
zar	T8	beta_13_30	0.0366880770889
zar	T8	low_gamma_30_45	0.0181958711764
zar	CP6	delta_1_4	0.42844286561
zar	CP6	theta_4_8	0.0265671852976
zar	CP6	alpha_8_13	0.0757563868538
zar	CP6	beta_13_30	0.0553382405778
zar	CP6	low_gamma_30_45	0.0141430486983
zar	FC6	delta_1_4	2.86656093597
zar	FC6	theta_4_8	0.0531507581472
zar	FC6	alpha_8_13	0.0158595710527
zar	FC6	beta_13_30	0.0387410188559
zar	FC6	low_gamma_30_45	0.0100286079914
zar	F8	delta_1_4	3.03874754906
zar	F8	theta_4_8	0.0877213645726
zar	F8	alpha_8_13	0.039370409213
zar	F8	beta_13_30	0.0497698066756
zar	F8	low_gamma_30_45	0.0367009403999
zar	F4	delta_1_4	6.22683024406
zar	F4	theta_4_8	0.0751747959293
zar	F4	alpha_8_13	0.0499121346511
zar	F4	beta_13_30	0.0586852212145
zar	F4	low_gamma_30_45	0.0233896516438
zar	C4	delta_1_4	2.90539216995
zar	C4	theta_4_8	0.0504673691466
zar	C4	alpha_8_13	0.0528669041814
zar	C4	beta_13_30	0.0265889693837
zar	C4	low_gamma_30_45	0.0191084201724
zar	P4	delta_1_4	0.336959313601
zar	P4	theta_4_8	0.036147124134
zar	P4	alpha_8_13	0.0397981926799
zar	P4	beta_13_30	0.0555042637861
zar	P4	low_gamma_30_45	0.00972567789722
zar	AF4	delta_1_4	6.24403810501
zar	AF4	theta_4_8	0.0866746571846
zar	AF4	alpha_8_13	0.050356219057
zar	AF4	beta_13_30	0.0657630907372
zar	AF4	low_gamma_30_45	0.0272863415885
zar	Fp2	delta_1_4	4.81665062904
zar	Fp2	theta_4_8	0.120587650687
zar	Fp2	alpha_8_13	0.091649914626
zar	Fp2	beta_13_30	0.365937229479
zar	Fp2	low_gamma_30_45	0.110791052226
zar	Fp1	delta_1_4	3.51910111308
zar	Fp1	theta_4_8	0.110628319904
zar	Fp1	alpha_8_13	0.154066733085
zar	Fp1	beta_13_30	0.476965272683
zar	Fp1	low_gamma_30_45	0.19346653088
zar	AF3	delta_1_4	3.94111424685
zar	AF3	theta_4_8	0.186180794612
zar	AF3	alpha_8_13	0.0956467567012
zar	AF3	beta_13_30	0.0864532808773
zar	AF3	low_gamma_30_45	0.0150733783667
zar	FC2	delta_1_4	7.21982383728
zar	FC2	theta_4_8	0.156664391048
zar	FC2	alpha_8_13	0.0567569995765
zar	FC2	beta_13_30	0.0724377838778
zar	FC2	low_gamma_30_45	0.0195446574362
zar	Cz	delta_1_4	4.10531944036
zar	Cz	theta_4_8	0.152562668547
zar	Cz	alpha_8_13	0.0945672560483
zar	Cz	beta_13_30	0.0792126851738
zar	Cz	low_gamma_30_45	0.0118182616643
zar	CP2	delta_1_4	0.356454558671
zar	CP2	theta_4_8	0.0298453150317
zar	CP2	alpha_8_13	0.0394980525598
zar	CP2	beta_13_30	0.0621897464443
zar	CP2	low_gamma_30_45	0.010138462254
zar	PO3	delta_1_4	14.0380158424
zar	PO3	theta_4_8	0.22603345383
zar	PO3	alpha_8_13	0.148656120524
zar	PO3	beta_13_30	0.0599935099017
zar	PO3	low_gamma_30_45	0.0210874740151
zar	O1	delta_1_4	15.1943984032
zar	O1	theta_4_8	0.263052290305
zar	O1	alpha_8_13	0.157488772646
zar	O1	beta_13_30	0.0527436628472
zar	O1	low_gamma_30_45	0.0310521170613
zar	Oz	delta_1_4	11.2049299479
zar	Oz	theta_4_8	0.317509233952
zar	Oz	alpha_8_13	0.311350636184
zar	Oz	beta_13_30	0.0870436076075
zar	Oz	low_gamma_30_45	0.0400664833141
zar	O2	delta_1_4	11.0387288332
zar	O2	theta_4_8	0.448783174157
zar	O2	alpha_8_13	0.22232132405
zar	O2	beta_13_30	0.123421120428
zar	O2	low_gamma_30_45	0.0193431761436
zar	PO4	delta_1_4	10.5517801046
zar	PO4	theta_4_8	0.419620774686
zar	PO4	alpha_8_13	0.205758269876
zar	PO4	beta_13_30	0.130919218529
zar	PO4	low_gamma_30_45	0.0289589381719
zar	Pz	delta_1_4	1.01440085471
zar	Pz	theta_4_8	0.0536582390778
zar	Pz	alpha_8_13	0.0258534364402
zar	Pz	beta_13_30	0.0366357149323
zar	Pz	low_gamma_30_45	0.0101116766164
zar	CP1	delta_1_4	0.289469957352
zar	CP1	theta_4_8	0.0443685525097
zar	CP1	alpha_8_13	0.0863198442385
zar	CP1	beta_13_30	0.0163190837775
zar	CP1	low_gamma_30_45	0.0125355002674
zar	FC1	delta_1_4	4.06024807692
zar	FC1	theta_4_8	0.175991154276
zar	FC1	alpha_8_13	0.0818595448509
zar	FC1	beta_13_30	0.0812110896077
zar	FC1	low_gamma_30_45	0.00758358801249
zar	P3	delta_1_4	3.82433873415
zar	P3	theta_4_8	0.0407982543111
zar	P3	alpha_8_13	0.00918543990701
zar	P3	beta_13_30	0.0248252129531
zar	P3	low_gamma_30_45	0.00536690605077
zar	C3	delta_1_4	0.7151619941
zar	C3	theta_4_8	0.0605459432118
zar	C3	alpha_8_13	0.0876589370891
zar	C3	beta_13_30	0.0290049823816
zar	C3	low_gamma_30_45	0.0100402184471
zar	F3	delta_1_4	4.09568977356
zar	F3	theta_4_8	0.185542165302
zar	F3	alpha_8_13	0.0848973337561
zar	F3	beta_13_30	0.102797868429
zar	F3	low_gamma_30_45	0.0176851951983
zar	F7	delta_1_4	1.76954858005
zar	F7	theta_4_8	0.146840803325
zar	F7	alpha_8_13	0.0523009654135
zar	F7	beta_13_30	0.233601658605
zar	F7	low_gamma_30_45	0.038593478268
zar	FC5	delta_1_4	1.06922470033
zar	FC5	theta_4_8	0.0747940782458
zar	FC5	alpha_8_13	0.0422254260629
zar	FC5	beta_13_30	0.0658268865955
zar	FC5	low_gamma_30_45	0.012091909477
zar	CP5	delta_1_4	4.19576025009
zar	CP5	theta_4_8	0.180462252349
zar	CP5	alpha_8_13	0.0523881381378
zar	CP5	beta_13_30	0.069599220471
zar	CP5	low_gamma_30_45	0.0101328804303
zar	T7	delta_1_4	0.113848030567
zar	T7	theta_4_8	0.172609776258
zar	T7	alpha_8_13	0.0491512077861
zar	T7	beta_13_30	0.0824105405482
zar	T7	low_gamma_30_45	0.0283642051509
zar	P7	delta_1_4	5.59551846981
zar	P7	theta_4_8	0.247649721801
zar	P7	alpha_8_13	0.0683361459523
zar	P7	beta_13_30	0.0686601896305
zar	P7	low_gamma_30_45	0.0178600487998
