subject_folder	channel	band	bandpower_uV2
P04	C3	low_gamma_30_45	0.00214002555003
P04	F3	delta_1_4	0.491091221571
P04	F3	theta_4_8	0.0275594471022
P04	F3	alpha_8_13	0.0272310608998
P04	F3	beta_13_30	0.0504442345482
P04	F3	low_gamma_30_45	0.00892045066576
P04	F7	delta_1_4	0.170431254432
P04	F7	theta_4_8	0.0238367908169
P04	F7	alpha_8_13	0.0103022768162
P04	F7	beta_13_30	0.0158062864648
P04	F7	low_gamma_30_45	0.00454160394293
P04	FC5	delta_1_4	0.0251025366597
P04	FC5	theta_4_8	0.0120042576455
P04	FC5	alpha_8_13	0.00351349756238
P04	FC5	beta_13_30	0.0107620199415
P04	FC5	low_gamma_30_45	0.00216361343701
P04	CP5	delta_1_4	0.112407427281
P04	CP5	theta_4_8	0.00238766346592
P04	CP5	alpha_8_13	0.00398540869355
P04	CP5	beta_13_30	0.0159725457343
P04	CP5	low_gamma_30_45	0.00422268047805
P04	T7	delta_1_4	0.0103196108248
P04	T7	theta_4_8	0.0203380328603
P04	T7	alpha_8_13	0.00680099241436
P04	T7	beta_13_30	0.0143404068222
P04	T7	low_gamma_30_45	0.00631415873886
P04	P7	delta_1_4	0.308774303645
P04	P7	theta_4_8	0.0198743672809
P04	P7	alpha_8_13	0.00562714721309
P04	P7	beta_13_30	0.0256653523829
P04	P7	low_gamma_30_45	0.00477451831102
P05	P8	delta_1_4	1.78950718045
P05	P8	theta_4_8	0.034316486679
P05	P8	alpha_8_13	0.023763964884
P05	P8	beta_13_30	0.0286410560948
P05	P8	low_gamma_30_45	0.00550198445126
P05	T8	delta_1_4	0.127697383985
P05	T8	theta_4_8	0.00661873829085
P05	T8	alpha_8_13	0.00210016346682
P05	T8	beta_13_30	0.0144824480813
P05	T8	low_gamma_30_45	0.00528805851354
P05	CP6	delta_1_4	0.0254282876849
P05	CP6	theta_4_8	0.0221173125319
P05	CP6	alpha_8_13	0.00687174836639
P05	CP6	beta_13_30	0.017179108836
P05	CP6	low_gamma_30_45	0.00267368330969
P05	FC6	delta_1_4	0.818801179528
P05	FC6	theta_4_8	0.043582749553
P05	FC6	alpha_8_13	0.00702669052407
P05	FC6	beta_13_30	0.021885326445
P05	FC6	low_gamma_30_45	0.00176636359356
P05	F8	delta_1_4	0.878410115838
P05	F8	theta_4_8	0.0685973558575
P05	F8	alpha_8_13	0.0168461855501
P05	F8	beta_13_30	0.0264023695199
P05	F8	low_gamma_30_45	0.0166226795991
P05	F4	delta_1_4	0.853980898857
P05	F4	theta_4_8	0.0495749502443
P05	F4	alpha_8_13	0.0058366319281
P05	F4	beta_13_30	0.0296148883353
P05	F4	low_gamma_30_45	0.00450366946461
P05	C4	delta_1_4	0.0381079241633
P05	C4	theta_4_8	0.0206459772307
P05	C4	alpha_8_13	0.0109240370803
P05	C4	beta_13_30	0.0111941090981
P05	C4	low_gamma_30_45	0.00273312985883
P05	P4	delta_1_4	1.80014461279
P05	P4	theta_4_8	0.0948218237609
P05	P4	alpha_8_13	0.0319750769995
P05	P4	beta_13_30	0.0174792960461
P05	P4	low_gamma_30_45	0.00482227259272
P05	AF4	delta_1_4	0.867515265942
P05	AF4	theta_4_8	0.0497437017038
P05	AF4	alpha_8_13	0.00758079322986
P05	AF4	beta_13_30	0.0251654935419
P05	AF4	low_gamma_30_45	0.00724915631508
P05	Fp2	delta_1_4	3.02398434281
P05	Fp2	theta_4_8	0.1264071716
P05	Fp2	alpha_8_13	0.0657051121816
P05	Fp2	beta_13_30	0.0728588203201
P05	Fp2	low_gamma_30_45	0.0250870017044
P05	Fp1	delta_1_4	2.76063084602
P05	Fp1	theta_4_8	0.0809235307388
P05	Fp1	alpha_8_13	0.0468109850772
P05	Fp1	beta_13_30	0.0580444617663
P05	Fp1	low_gamma_30_45	0.0317339678295
P05	AF3	delta_1_4	1.26178883016
P05	AF3	theta_4_8	0.0559881376103
P05	AF3	alpha_8_13	0.0336030041799
P05	AF3	beta_13_30	0.0389276862843
P05	AF3	low_gamma_30_45	0.00647605255654
P05	FC2	delta_1_4	0.821003645658
P05	FC2	theta_4_8	0.0395936286077
P05	FC2	alpha_8_13	0.00654224486789
P05	FC2	beta_13_30	0.0320461322844
P05	FC2	low_gamma_30_45	0.00456460917485
P05	Cz	delta_1_4	0.478083334863
P05	Cz	theta_4_8	0.013662575162
P05	Cz	alpha_8_13	0.0154687160393
